转换开始时间: 2026-02-10 09:12:23.709289
模式: hdict_to_voc
输入: E:/个人项目/halcon_2_voc/test/fj_td_test.hdict
输出: E:/个人项目/halcon_2_voc/test/test_xml
------------------------------------------------------------
[09:12:23] 读取 hdict: E:/个人项目/halcon_2_voc/test/fj_td_test.hdict
[09:12:23] 读取 hdict: E:/个人项目/halcon_2_voc/test/fj_td_test.hdict
[09:12:23] 读取到 10 个类别名称
[09:12:23] 读取到 10 个类别名称
[09:12:23] 共 300 个样本
[09:12:23] 共 300 个样本
[09:12:23] 生成: dzj_50_test_final_0001.xml （有标注，2 个框）
[09:12:23] 生成: dzj_50_test_final_0001.xml （有标注，2 个框）
[09:12:23] 生成: dzj_50_test_final_0002.xml （有标注，4 个框）
[09:12:23] 生成: dzj_50_test_final_0002.xml （有标注，4 个框）
[09:12:23] 生成: dzj_50_test_final_0003.xml （有标注，3 个框）
[09:12:23] 生成: dzj_50_test_final_0003.xml （有标注，3 个框）
[09:12:23] 生成: dzj_50_test_final_0004.xml （有标注，2 个框）
[09:12:23] 生成: dzj_50_test_final_0004.xml （有标注，2 个框）
[09:12:23] 生成: dzj_50_test_final_0005.xml （有标注，1 个框）
[09:12:23] 生成: dzj_50_test_final_0005.xml （有标注，1 个框）
[09:12:23] 生成: dzj_50_test_final_0006.xml （有标注，11 个框）
[09:12:23] 生成: dzj_50_test_final_0006.xml （有标注，11 个框）
[09:12:23] 生成: dzj_50_test_final_0010.xml （有标注，1 个框）
[09:12:23] 生成: dzj_50_test_final_0010.xml （有标注，1 个框）
[09:12:23] 生成: dzj_50_test_final_0012.xml （有标注，2 个框）
[09:12:23] 生成: dzj_50_test_final_0012.xml （有标注，2 个框）
[09:12:23] 生成: dzj_50_test_final_0013.xml （有标注，2 个框）
[09:12:23] 生成: dzj_50_test_final_0013.xml （有标注，2 个框）
[09:12:23] 生成: dzj_50_test_final_0017.xml （有标注，9 个框）
[09:12:23] 生成: dzj_50_test_final_0017.xml （有标注，9 个框）
[09:12:23] 生成: dzj_50_test_final_0019.xml （有标注，6 个框）
[09:12:23] 生成: dzj_50_test_final_0019.xml （有标注，6 个框）
[09:12:23] 生成: dzj_50_test_final_0020.xml （有标注，2 个框）
[09:12:23] 生成: dzj_50_test_final_0020.xml （有标注，2 个框）
[09:12:23] 生成: dzj_50_test_final_0021.xml （有标注，5 个框）
[09:12:23] 生成: dzj_50_test_final_0021.xml （有标注，5 个框）
[09:12:23] 生成: dzj_50_test_final_0022.xml （有标注，6 个框）
[09:12:23] 生成: dzj_50_test_final_0022.xml （有标注，6 个框）
[09:12:23] 生成: dzj_50_test_final_0023.xml （有标注，12 个框）
[09:12:23] 生成: dzj_50_test_final_0023.xml （有标注，12 个框）
[09:12:23] 生成: dzj_50_test_final_0024.xml （有标注，14 个框）
[09:12:23] 生成: dzj_50_test_final_0024.xml （有标注，14 个框）
[09:12:23] 生成: dzj_50_test_final_0025.xml （有标注，5 个框）
[09:12:23] 生成: dzj_50_test_final_0025.xml （有标注，5 个框）
[09:12:23] 生成: dzj_50_test_final_0027.xml （有标注，1 个框）
[09:12:23] 生成: dzj_50_test_final_0027.xml （有标注，1 个框）
[09:12:23] 生成: dzj_50_test_final_0028.xml （有标注，8 个框）
[09:12:23] 生成: dzj_50_test_final_0028.xml （有标注，8 个框）
[09:12:23] 生成: dzj_50_test_final_0029.xml （有标注，9 个框）
[09:12:23] 生成: dzj_50_test_final_0029.xml （有标注，9 个框）
[09:12:23] 生成: dzj_50_test_final_0030.xml （有标注，5 个框）
[09:12:23] 生成: dzj_50_test_final_0030.xml （有标注，5 个框）
[09:12:23] 生成: dzj_50_test_final_0035.xml （有标注，4 个框）
[09:12:23] 生成: dzj_50_test_final_0035.xml （有标注，4 个框）
[09:12:23] 生成: dzj_50_test_final_0036.xml （有标注，4 个框）
[09:12:23] 生成: dzj_50_test_final_0036.xml （有标注，4 个框）
[09:12:23] 生成: dzj_50_test_final_0043.xml （有标注，3 个框）
[09:12:23] 生成: dzj_50_test_final_0043.xml （有标注，3 个框）
[09:12:23] 生成: dzj_50_test_final_0044.xml （有标注，5 个框）
[09:12:23] 生成: dzj_50_test_final_0044.xml （有标注，5 个框）
[09:12:23] 生成: dzj_50_test_final_0045.xml （有标注，5 个框）
[09:12:23] 生成: dzj_50_test_final_0045.xml （有标注，5 个框）
[09:12:23] 生成: dzj_50_test_final_0046.xml （有标注，6 个框）
[09:12:23] 生成: dzj_50_test_final_0046.xml （有标注，6 个框）
[09:12:23] 生成: dzj_50_test_final_0047.xml （有标注，3 个框）
[09:12:23] 生成: dzj_50_test_final_0047.xml （有标注，3 个框）
[09:12:23] 生成: dzj_50_test_final_0048.xml （有标注，3 个框）
[09:12:23] 生成: dzj_50_test_final_0048.xml （有标注，3 个框）
[09:12:23] 生成: dzj_50_test_final_0049.xml （有标注，1 个框）
[09:12:23] 生成: dzj_50_test_final_0049.xml （有标注，1 个框）
[09:12:23] 生成: fdc_49_test_final_0001.xml （有标注，2 个框）
[09:12:23] 生成: fdc_49_test_final_0001.xml （有标注，2 个框）
[09:12:23] 生成: fdc_49_test_final_0003.xml （有标注，2 个框）
[09:12:23] 生成: fdc_49_test_final_0003.xml （有标注，2 个框）
